Map,Roundtype,Blue Team,Red Team,time,len,KB,KR,UB,UR,FB
Nepal,Sanctum,HK,RUS,1:18,39,2,7,0,0,B
Nepal,Sanctum,HK,RUS,2:57,12,1,3,0,0,R
Nepal,Sanctum,HK,RUS,3:45,19,6,0,0,1,B
Nepal,Sanctum,HK,RUS,4:25,32,1,4,2,3,B
Nepal,Village,HK,RUS,0:36,0,0,1,0,0,R
Nepal,Village,HK,RUS,0:44,25,0,5,0,2,R
Nepal,Village,HK,RUS,1:26,0,0,1,0,0,R
Nepal,Village,HK,RUS,1:52,15,1,4,0,0,R
Nepal,Village,HK,RUS,2:36,6,1,2,1,0,R
Nepal,Village,HK,RUS,3:07,12,0,6,0,3,R
King's Row,Defense,HK,RUS,0:14,19,2,2,0,0,B
King's Row,Defense,HK,RUS,0:55,27,0,9,1,1,R
King's Row,Defense,HK,RUS,2:20,27,1,7,0,3,R
King's Row,Defense,HK,RUS,3:07,30,0,7,3,4,R
King's Row,Attack,HK,RUS,0:24,12,0,1,0,1,R
King's Row,Attack,HK,RUS,1:00,18,1,3,0,2,B
King's Row,Attack,HK,RUS,1:42,44,7,3,3,4,B
King's Row,Attack,HK,RUS,3:05,17,0,3,1,1,R
King's Row,Attack,HK,RUS,3:55,3,0,3,0,0,R
King's Row,Attack,HK,RUS,4:15,7,0,3,0,0,R
King's Row,Attack,HK,RUS,4:49,1,0,1,1,0,R
King's Row,Attack,HK,RUS,5:18,18,0,4,0,3,R
King's Row,Attack,HK,RUS,6:08,41,4,8,3,3,B
Temple of Anubis,Defense,HK,RUS,0:39,19,0,5,0,0,R
Temple of Anubis,Defense,HK,RUS,1:32,12,0,5,1,2,R
Temple of Anubis,Attack,HK,RUS,0:52,8,0,3,0,0,R
Temple of Anubis,Attack,HK,RUS,1:33,19,5,1,0,1,B
Temple of Anubis,Attack,HK,RUS,2:30,0,0,1,0,0,R
Temple of Anubis,Attack,HK,RUS,3:03,26,0,3,0,2,R
Temple of Anubis,Attack,HK,RUS,4:07,23,0,4,0,0,R
Temple of Anubis,Attack,HK,RUS,4:58,18,2,6,1,1,R
Temple of Anubis,Attack,HK,RUS,5:46,0,0,1,0,0,R
Temple of Anubis,Attack,HK,RUS,6:12,19,0,5,0,1,R
Temple of Anubis,Attack,HK,RUS,7:15,47,6,5,2,0,R
Rialto,Defense,HK,RUS,0:15,0,1,0,0,0,B
Rialto,Defense,HK,RUS,0:46,13,0,3,0,0,R
Rialto,Defense,HK,RUS,1:17,47,6,3,4,5,R
Rialto,Defense,HK,RUS,2:32,42,3,8,2,2,B
Rialto,Defense,HK,RUS,4:14,34,5,3,1,2,B
Rialto,Defense,HK,RUS,5:25,67,4,13,4,4,R
Rialto,Defense,HK,RUS,7:04,61,5,7,2,9,B
Rialto,Defense,HK,RUS,8:14,16,5,0,1,1,B
Rialto,Defense,HK,RUS,8:53,4,1,1,0,1,B
Rialto,Attack,HK,RUS,0:28,0,0,1,0,0,R
Rialto,Attack,HK,RUS,0:53,60,5,6,2,3,B
Rialto,Attack,HK,RUS,2:05,36,2,6,2,3,B
Rialto,Attack,HK,RUS,3:22,0,0,1,0,0,R
Rialto,Attack,HK,RUS,3:41,37,2,8,4,2,B
Oasis,University,TW,KR,0:13,0,1,0,0,0,B
Oasis,University,TW,KR,0:38,33,0,6,1,1,R
Oasis,University,TW,KR,1:56,12,0,3,2,1,R
Oasis,University,TW,KR,2:26,21,0,4,1,3,R
Oasis,University,TW,KR,3:22,13,1,6,1,1,R
Oasis,City Center,TW,KR,0:25,34,4,3,0,1,B
Oasis,City Center,TW,KR,1:32,30,5,2,3,1,R
Oasis,City Center,TW,KR,2:38,33,7,1,5,1,R
Oasis,Gardens,TW,KR,0:26,0,1,0,0,0,B
Oasis,Gardens,TW,KR,0:52,45,3,10,2,1,B
Oasis,Gardens,TW,KR,2:46,16,0,3,0,1,R
Oasis,Gardens,TW,KR,3:36,20,1,5,1,2,R
King's Row,Attack,TW,KR,0:11,0,0,1,0,0,R
King's Row,Attack,TW,KR,0:28,0,0,1,0,0,R
King's Row,Attack,TW,KR,0:46,30,0,6,0,1,R
King's Row,Attack,TW,KR,1:54,10,0,4,0,2,R
King's Row,Attack,TW,KR,2:31,2,1,1,0,1,B
King's Row,Attack,TW,KR,2:42,11,1,0,0,0,B
King's Row,Attack,TW,KR,3:06,43,7,4,1,2,B
King's Row,Attack,TW,KR,4:37,44,3,3,1,1,R
King's Row,Attack,TW,KR,5:54,11,1,0,0,0,B
King's Row,Attack,TW,KR,6:17,39,2,7,1,3,R
King's Row,Defense,TW,KR,0:56,0,1,0,0,0,B
King's Row,Defense,TW,KR,1:06,24,1,6,0,1,R
King's Row,Defense,TW,KR,2:12,38,2,7,2,3,R
King's Row,Defense,TW,KR,3:18,13,0,5,0,0,R
Temple of Anubis,Attack,TW,KR,0:12,0,0,1,0,0,R
Temple of Anubis,Attack,TW,KR,0:45,32,3,9,0,0,B
Temple of Anubis,Attack,TW,KR,1:29,7,0,1,0,1,R
Temple of Anubis,Attack,TW,KR,1:55,9,0,2,0,0,R
Temple of Anubis,Attack,TW,KR,2:28,0,0,1,0,0,R
Temple of Anubis,Attack,TW,KR,2:36,27,0,4,0,2,R
Temple of Anubis,Attack,TW,KR,3:26,14,0,5,1,2,R
Temple of Anubis,Attack,TW,KR,3:47,41,6,1,3,2,B
Temple of Anubis,Attack,TW,KR,5:10,21,0,4,1,1,R
Temple of Anubis,Attack,TW,KR,6:21,22,0,5,0,1,R
Temple of Anubis,Attack,TW,KR,7:25,17,0,4,0,0,R
Temple of Anubis,Attack,TW,KR,8:05,45,0,8,4,4,R
Temple of Anubis,Defense,TW,KR,0:23,21,5,0,0,0,B
Temple of Anubis,Defense,TW,KR,1:01,43,2,7,3,4,R
Temple of Anubis,Defense,TW,KR,3:15,42,0,9,4,4,R
Rialto,Attack,TW,KR,0:36,55,11,3,1,0,B
Rialto,Attack,TW,KR,2:07,28,2,6,4,4,B
Rialto,Attack,TW,KR,3:13,18,1,6,1,1,R
Rialto,Attack,TW,KR,4:23,25,4,0,2,3,B
Rialto,Attack,TW,KR,5:30,6,0,2,0,0,R
Rialto,Attack,TW,KR,6:13,10,0,4,0,1,R
Rialto,Attack,TW,KR,6:47,40,2,4,2,4,R
Rialto,Attack,TW,KR,7:43,31,1,7,2,3,B
Rialto,Defense,TW,KR,0:22,3,1,2,0,0,R
Rialto,Defense,TW,KR,0:38,11,0,1,0,1,R
Rialto,Defense,TW,KR,1:13,0,1,0,0,0,B
Rialto,Defense,TW,KR,1:31,12,0,6,0,0,R
Rialto,Defense,TW,KR,2:24,6,2,1,2,1,B
Rialto,Defense,TW,KR,3:12,15,0,4,0,2,R
Rialto,Defense,TW,KR,3:46,8,0,4,0,0,R
Rialto,Defense,TW,KR,4:32,19,2,4,1,2,R
Ilios,Ruins,HK,FL,0:46,17,4,0,0,0,B
Ilios,Ruins,HK,FL,1:25,21,0,4,1,1,R
Ilios,Ruins,HK,FL,2:08,17,2,4,0,2,R
Ilios,Ruins,HK,FL,2:44,16,1,4,3,1,R
Ilios,Ruins,HK,FL,3:23,0,0,1,0,0,R
Ilios,Ruins,HK,FL,3:50,3,0,2,0,0,R
Ilios,Lighthouse,HK,FL,0:57,14,1,6,0,0,R
Ilios,Lighthouse,HK,FL,1:35,14,5,0,0,0,B
Ilios,Lighthouse,HK,FL,2:11,15,0,5,1,1,R
Ilios,Lighthouse,HK,FL,2:49,8,0,2,0,0,R
Ilios,Lighthouse,HK,FL,3:21,2,0,1,2,1,R
Ilios,Lighthouse,HK,FL,3:51,20,2,3,3,3,B
King's Row,Attack,HK,FL,0:18,0,0,1,0,0,R
King's Row,Attack,HK,FL,0:52,11,0,1,0,2,R
King's Row,Attack,HK,FL,1:37,48,3,5,2,6,B
King's Row,Attack,HK,FL,3:01,11,0,4,0,0,R
King's Row,Attack,HK,FL,3:32,29,7,3,3,3,R
King's Row,Attack,HK,FL,4:57,8,0,2,1,1,R
King's Row,Attack,HK,FL,5:33,28,3,3,3,3,B
King's Row,Attack,HK,FL,6:27,20,0,6,1,2,R
King's Row,Defense,HK,FL,0:32,5,0,2,0,0,R
King's Row,Defense,HK,FL,0:54,0,0,1,0,0,R
King's Row,Defense,HK,FL,1:20,5,1,3,0,2,R
Temple of Anubis,Attack,HK,FL,0:43,12,1,2,0,0,R
Temple of Anubis,Attack,HK,FL,2:08,20,1,5,2,0,R
Temple of Anubis,Attack,HK,FL,3:22,42,0,7,3,4,R
Temple of Anubis,Defense,HK,FL,0:33,13,1,5,0,0,R
Rialto,Attack,HK,FL,0:36,29,2,2,1,1,R
Rialto,Attack,HK,FL,1:21,5,0,1,1,1,R
Rialto,Attack,HK,FL,1:37,20,1,4,0,2,B
Rialto,Attack,HK,FL,2:29,24,5,1,1,0,B
Rialto,Attack,HK,FL,3:15,30,7,2,2,2,B
Rialto,Attack,HK,FL,4:02,33,3,4,2,1,B
Rialto,Attack,HK,FL,4:50,14,1,5,1,1,R
Rialto,Attack,HK,FL,5:24,90,5,8,4,4,R
Rialto,Attack,HK,FL,7:23,4,0,2,0,1,R
Rialto,Defense,HK,FL,0:43,9,0,2,0,1,R
Rialto,Defense,HK,FL,1:00,35,1,6,2,4,R
Rialto,Defense,HK,FL,2:09,24,3,2,3,3,B
Rialto,Defense,HK,FL,2:48,27,1,4,0,3,R
Oasis,University,JP,RUS,0:29,7,2,0,0,0,B
Oasis,University,JP,RUS,1:04,4,4,0,0,0,B
Oasis,University,JP,RUS,1:34,39,5,4,5,3,R
Oasis,University,JP,RUS,2:22,21,4,2,1,2,R
